start,end,Progress,duration_sec,Finished,recorded_date,Response_ID,subfield,graduate_yrs,postdoc_yrs,career_teaching,career_R2_R3,career_R1,career_govt,career_industry_datascience,career_communication,career_NGO,career_unsure,publish_before_grad,firstauthor_pubs,coauthor_pubs,pub_wo_PI,lab_feedback,lab_feedback_helped,lab_collab,How is your advisor/PI involved in your writing? (Check all that apply),PI_revisions,hrs_wk_writing,writing_tracking,plan_writing,where_write,Where do you usually write (pre-COVID)? (Check all that apply) - Other (please specify) - Text,writing_tracking,writing_tracking_other,writing_support_group,no_writing_support_group,type_writing_support_group,How did your perspective on writing change through participating in a writing group?,Goal setting,Giving and/or receiving reviews,Collaboration,Camaraderie,Technical writing skills,Less difficulty starting a writing project,Time management,"Overcoming ""perfectionism paralysis""",Overcoming writing anxiety,Overcoming imposter syndrome,Writing quality,Writing output,What are some of the challenges you face with writing (pre-COVID-19)? (Check all that apply),COVID_impact_writing,Has the pandemic impacted the amount of time you have for writing?,Has the pandemic affected your writing productivity?,Has the pandemic impacted your motivation to write?,Has the pandemic affected your participation in writing support groups?,science_writing_open,writing_word,review_open,review_word,US_Canadian_training,gender_identity,first_language_english,first_language_text,first_gen,BIPOC,condition,open_answer,gift_card
4/7/21 9:27,4/7/21 9:32,100,288,TRUE,4/7/21 9:32,R_30cJ8kjFEqmHxqH,biogeochemistry,10,,7,8,7,10,10,10,10,,No,,,No,Yes,The feedback has helped,Yes,Revising with minor comments,5+,,"I set a specific amount of time each week (e.g., 15 minutes per day, 2 hours on Tuesday/Thursday)",1,"Home (off-campus residence or dormitory),University provided office or lab space",,I do not track my writing progress,,No,"I had ample writing support within my immediate graduate group (e.g. advisor, laboratory),I did not know writing support groups existed",,,,,,,,,,,,,,,"I have trouble fitting writing into my schedule,I do not receive adequate feedback on my writing,My perfectionism with writing hinders my progress",No,,,,,seesaw,neutral,abuseofpower,negative,Yes,Female,Yes,,No,Yes,No,,Yes
3/26/21 12:05,3/26/21 12:11,100,365,TRUE,3/26/21 12:11,R_1gNJt6iY2YRADO1,Wildlife Ecology and Environmental Justice ,2,,8,9,10,9,5,10,,,Yes,2,,No,Yes,The feedback has helped,Yes,"Planning (generating ideas),Drafting or outlining,Writing sections of manuscript,Revising with many suggestions and comments,Revising with minor comments",5+,15,"I set a specific amount of time each week (e.g., 15 minutes per day, 2 hours on Tuesday/Thursday),I do not track or schedule my writing time",1,"Home (off-campus residence or dormitory),On-campus spaces (e.g. graduate student centers, affinity group centers),University or public libraries,Coffee shops/restaurants,I would like to write at an office, but my university does not provide me with office space",,"Checking in with writing accountability/support group,Checking in with advisor or mentor",,Yes,,"Peer group,Mentoring program,Writing retreats, study halls, etc.",I like writing more,Improved,Improved,No Change,Improved,Improved,Improved,No Change,No Change,No Change,Improved,Improved,Improved,,No,,,,,Iterative ,neutral,Abyss ,negative,Yes,Male,Yes,,No,Yes,Yes,,Yes
4/5/21 10:28,4/5/21 10:33,100,286,TRUE,4/5/21 10:33,R_1q2HxAjdY1SRIhA,Fisheries ,6,,2,3,5,8,7,6,6,4,No,4,0,No,No,,No,"Revising with many suggestions and comments,Revising with minor comments",3-Jan,8,I set aside specific days each week,1,"On-campus spaces (e.g. graduate student centers, affinity group centers),Coffee shops/restaurants",,I do not track my writing progress,,Yes,,Formal writing workshop,Neutral/no change,Improved,No Change,No Change,Improved,No Change,No Change,No Change,No Change,No Change,No Change,No Change,No Change,"I find it difficult to start a new writing project,My perfectionism with writing hinders my progress,I get easily distracted whenever I try to write",No,,,,,Arduous,negative,adequate,neutral,Yes,Male,Yes,,No,No,No,,Yes
4/6/21 17:19,4/6/21 17:23,100,234,TRUE,4/6/21 17:23,R_24ekoVsAioWS9B4,Ornithology,4,,6,9,10,5,6,4,6,,Yes,6,7,No,Yes,The feedback has helped,Yes,"Planning (generating ideas),Drafting or outlining,Writing sections of manuscript,Revising with many suggestions and comments,Revising with minor comments",5-Mar,1,"I set a specific amount of time each week (e.g., 15 minutes per day, 2 hours on Tuesday/Thursday),I set aside large blocks of time before deadlines,I do not track or schedule my writing time",1,"Home (off-campus residence or dormitory),University provided office or lab space",,Checking in with advisor or mentor,,No,"I had ample writing support within my immediate graduate group (e.g. advisor, laboratory)",,,,,,,,,,,,,,,I get easily distracted whenever I try to write,No,,,,,fine,neutral,adequate,neutral,Yes,Female,Yes,,No,No,No,,Yes
3/22/21 16:28,3/22/21 16:33,100,302,TRUE,3/22/21 16:33,R_87CsqFaofmQdmtX,Plant Ecology and Evolution,1,,8,10,7,6,4,5,6,,No,1,,No,Yes,The feedback has not helped,No,"Planning (generating ideas),Drafting or outlining,Revising with many suggestions and comments,Revising with minor comments",3-Jan,2,"I set aside large blocks of time (e.g., during weekends or breaks),I set aside large blocks of time before deadlines",0,"Home (off-campus residence or dormitory),University provided office or lab space,On-campus spaces (e.g. graduate student centers, affinity group centers)",,Checking in with advisor or mentor,,Yes,,Peer group,Neutral/no change,No Change,Improved,No Change,Improved,No Change,Improved,Improved,No Change,Improved,Improved,No Change,Improved,"I find it difficult to start a new writing project,I have trouble fitting writing into my schedule,I have too many other obligations,My perfectionism with writing hinders my progress",Yes,I have much less time for writing,I am less productive,I am less motivated to write,Neutral/no change,Tedious,negative,Adequate,neutral,Yes,Male,Yes,,Yes,No,No,,Yes
4/7/21 13:52,4/7/21 13:58,100,365,TRUE,4/7/21 13:58,R_1HnjMZvf8klIOkU,Evolutionary genetics,6,4,2,2,2,8,10,4,6,,Yes,4,6,No,No,,Yes,"Planning (generating ideas),Drafting or outlining,Writing sections of manuscript,Revising with many suggestions and comments,Revising with minor comments",5+,5,"I set a specific amount of time each week (e.g., 15 minutes per day, 2 hours on Tuesday/Thursday),I set aside specific days each week",1,"Home (off-campus residence or dormitory),University provided office or lab space,On-campus spaces (e.g. graduate student centers, affinity group centers)",,"Checking in with advisor or mentor,I do not track my writing progress",,No,I could not find a group to join,,,,,,,,,,,,,,,"My perfectionism with writing hinders my progress,I get easily distracted whenever I try to write",No,,,,,loathing,negative,ambivalence,neutral,Yes,Non-binary/third gender/other,Yes,,No,No,No,"I actually love writing. I write creatively - I just finished a novel - and do well on grant applications and edit my colleagues' work. But I really dislike the prevailing style in scientific writing, and my PhD adviser's approach to feedback was deeply negating and undermining and as far as I'm concerned the scientific literature can take a long walk off a short pier.",Yes
4/6/21 14:14,4/6/21 21:28,100,26040,TRUE,4/6/21 21:28,R_8Bo8kx6sjwdg4SZ,,1,,10,9,10,4,5,6,,,Yes,2,6,Yes,Yes,The feedback has helped,No,"Planning (generating ideas),Drafting or outlining,Revising with many suggestions and comments",1,3,"I set a specific amount of time each week (e.g., 15 minutes per day, 2 hours on Tuesday/Thursday),I set aside specific days each week,I set aside large blocks of time (e.g., during weekends or breaks),I set aside large blocks of time before deadlines",1,"On-campus spaces (e.g. graduate student centers, affinity group centers)",,Physical notebook,,No,"I could not find a group to join,I did not know writing support groups existed",,,,,,,,,,,,,,,"I find it difficult to start a new writing project,I get easily distracted whenever I try to write",Yes,I have less time for writing,Neutral/no change,Neutral/no change,,chaotic,negative,annoying,negative,Yes,Female,No,,Yes,Yes,No,,Yes
4/30/21 16:02,4/30/21 16:10,100,498,TRUE,4/30/21 16:10,R_1GTayQIcOvLWMHA,Wildlife ecology,5,3,7,9,9,10,0,3,10,,Yes,12,4,No,No,,Yes,Revising with minor comments,1,10,I do not track or schedule my writing time,0,"Home (off-campus residence or dormitory),University provided office or lab space",,I do not track my writing progress,,No,"I had no interest in joining a writing group,I did not know writing support groups existed",,,,,,,,,,,,,,,My perfectionism with writing hinders my progress,No,,,,,Easy,positive,Annoying,negative,Yes,Male,Yes,,No,No,No,,Yes
4/14/21 10:57,4/14/21 11:04,100,450,TRUE,4/14/21 11:04,R_2fg186d9DUxTiJa,Plant Pathology ,4,,6,8,8,8,8,4,3,6,No,0,1,No,Yes,The feedback has helped,Yes,Revising with many suggestions and comments,3-Jan,5,I set aside specific days each week,1,"Home (off-campus residence or dormitory),University provided office or lab space,On-campus spaces (e.g. graduate student centers, affinity group centers),University or public libraries,Coffee shops/restaurants",,"Electronic spreadsheets,Electronic note taking applications",,No,I had no interest in joining a writing group,,,,,,,,,,,,,,,I find it difficult to start a new writing project,Yes,I have less time for writing,Neutral/no change,Neutral/no change,Neutral/no change,Exhausting,negative,Annoying ,negative,No,Male,No,,No,Yes,No,,Yes
4/5/21 12:06,4/8/21 14:00,100,266018,TRUE,4/8/21 14:00,R_XFeXIhlR0OfrfMZ,"Herpetology, invasion ecology, wildlife conservation, parasitology",1,,1,7,8,9,7,6,9,6,Yes,3,3,Yes,Yes,The feedback has helped,Yes,"Planning (generating ideas),Revising with many suggestions and comments",3-Jan,2,"I set aside large blocks of time before deadlines,I do not track or schedule my writing time",0,"Home (off-campus residence or dormitory),University provided office or lab space,Coffee shops/restaurants",,"Electronic note taking applications,Physical notebook,Checking in with advisor or mentor,Other (please specify)",Written Planner,No,I did not know writing support groups existed,,,,,,,,,,,,,,,"I find it difficult to start a new writing project,I have trouble fitting writing into my schedule,I have too many other obligations,My perfectionism with writing hinders my progress,I get easily distracted whenever I try to write",Yes,I have more time for writing,I am more productive,I am less motivated to write,,anxiety,negative,anxiety,negative,Yes,Female,Yes,,No,No,Yes,Figuring out authorship makes me nervous and confused. Like when does collaborating mean authorship and who goes in what order? It's very stressful.,Yes
